name,addr,gu,dong,위도_user,경도_user
응암1동 자치회관,서울특별시 은평구 백련산로 179,은평구,응암1동,37.6007599,126.9267774
응암2동 자치회관,서울특별시 은평구 백련산로 100,은평구,응암2동,37.5945038,126.9231175
응암3동 자치회관,서울특별시 은평구 불광천길 410-17,은평구,응암3동,37.5922398,126.9156626
역촌동 자치회관,서울특별시 은평구 연서로 59,은평구,역촌동,37.6044279,126.9151883
신사1동 자치회관,서울특별시 은평구 은평로2길 2,은평구,신사1동,37.5978331,126.9118365
신사2동 자치회관,서울특별시 은평구 증산로15길 47,은평구,신사2동,37.5902536,126.9084059
증산동 자치회관,서울특별시 은평구 증산서길 89,은평구,증산동,37.5843472,126.9070352
수색동 자치회관,서울특별시 은평구 은평터널로 27,은평구,수색동,37.5896416,126.9035893
진관동 자치회관,서울특별시 은평구 진관2로 31,은평구,진관동,37.634928,126.9209527
충현동 자치회관,서울특별시 서대문구 경기대로 40,서대문구,충현동,37.5629513,126.9623487
천연동 자치회관,서울특별시 서대문구 독립문로 15-7,서대문구,천연동,37.5702472,126.9606656
북아현동 자치회관,서울특별시 서대문구 북아현로 24,서대문구,북아현동,37.559478,126.9570302
신촌동 자치회관,서울특별시 서대문구 연세로2나길 47,서대문구,신촌동,37.5578096,126.9395561
연희동 자치회관,서울특별시 서대문구 증가로 13-10,서대문구,연희동,37.5692935,126.9308935
홍제1동 자치회관,서울특별시 서대문구 통일로27길 19,서대문구,홍제1동,37.5832048,126.9484215
홍제2동 자치회관,서울특별시 서대문구 통일로34길 27,서대문구,홍제2동,37.5861083,126.949354
홍제3동 자치회관,서울특별시 서대문구 세검정로4길 32,서대문구,홍제3동,37.59376110000001,126.9497306
홍은1동 자치회관,서울특별시 서대문구 세검정로1길 45,서대문구,홍은1동,37.593224,126.9438981
홍은2동 자치회관,서울특별시 서대문구 모래내로 334,서대문구,홍은2동,37.5801356,126.9341863
남가좌1동 자치회관,서울특별시 서대문구 모래내로15길 37,서대문구,남가좌1동,37.5732354,126.9197175
남가좌2동 자치회관,서울특별시 서대문구 증가로10길 28,서대문구,남가좌2동,37.57844840000001,126.9238774
북가좌1동 자치회관,서울특별시 서대문구 수색로 100-55,서대문구,북가좌1동,37.5743045,126.9102019
북가좌2동 자치회관,서울특별시 서대문구 응암로1길 10,서대문구,북가좌2동,37.5814782,126.9111717
공덕동 자치회관,서울특별시 마포구 만리재옛길 84,마포구,공덕동,37.550204,126.9600793
