대지위치,건물명,동_세부용도,연면적,호수,위도_user,경도_user
서울특별시 강남구 대치동 944-21,대치2차 아이파크,"업무시설,근린생활시설",20084.0,196,37.5069787,127.0608949
서울특별시 강남구 대치동 945-20,대치3차 아이파크 오피스텔,"업무시설(오피스텔),근린생활시설",12693.77,240,37.50704959999999,127.0618226
서울특별시 강남구 대치동 945-29,CO-OP Residence/삼성역,"오피스텔,근생",4281.41,146,37.5071397,127.0614529
서울특별시 강남구 도곡동 168-0,에스케이리더스뷰,"업무시설(오피스텔), 판매및영업시설, 운동시설",65212.69,219,37.4884716,127.0487329
서울특별시 강남구 도곡동 467-0,타워팰리스,아파트/업무시설,53907.14,202,37.4882228,127.0544393
서울특별시 강남구 도곡동 467-10,우성리빙텔,주거시설,17674.43,59,37.488445,127.0525603
서울특별시 강남구 도곡동 467-17,타워팰리스,"공동주택(아파트), 오피스텔",197404.78,148,37.4897104,127.0544907
서울특별시 강남구 도곡동 467-29,타워팰리스,"공동주택(아파트), 오피스텔",195058.42,130,37.4873359,127.0528298
서울특별시 강남구 도곡동 949-2,도곡푸르지오 102동,"공동주택(아파트),업무시설(오피스텔),근린생활시설",10652.46,39,37.4877745,127.0329083
서울특별시 강남구 삼성동 112-0,태정빌딩,"사무소,오피스텔,근린생활시설",2953.49,13,37.5100827,127.0441707
서울특별시 강남구 삼성동 112-1,씨티라이프 61,"업무시설(오피스텔),근린생활시설",3788.71,66,37.5101418,127.044348
서울특별시 강남구 삼성동 113-4,삼성동 파크엘나인,"업무시설(오피스텔),공동주택(다세대주택),근린생활시설",4490.19,77,37.5107567,127.0467103
서울특별시 강남구 삼성동 113-6,한흥 삼성오피스텔,"업무시설,근린생활시설",4612.91,76,37.51087709999999,127.0471163
서울특별시 강남구 삼성동 114-11,삼성동지웰,"업무시설,공동주택(아파트),근린생활시설",7542.11,30,37.5114528,127.0488389
서울특별시 강남구 삼성동 1-2,펄세이,(업무시설)오피스텔,4763.2345,54,37.516814,127.0422231
서울특별시 강남구 삼성동 140-3,선릉대림아크로텔,"업무시설(오피스텔),근린생활시설",34526.09,0,37.5067648,127.0480846
서울특별시 강남구 삼성동 141-10,삼성동 롯데캐슬 클라쎄,"업무시설(오피스텔 287호),근린생활시설(12호)",20061.4369,299,37.5058063,127.0502109
서울특별시 강남구 삼성동 142-3,LG선릉에클라트B,"공동주택(아파트), 업무시설",45274.22,325,37.506168,127.0509289
서울특별시 강남구 삼성동 142-7,LG선릉에클라트,"공동주택,업무시설, 근린생활시설",11074.36,20,37.5065578,127.0508536
